Year,Round,Day,Date,Time,Home,H_PTS,Away,A_PTS,Referee/s,Stadium,Crowd,delete
2008,Round 11,Mon,May 26th,7:00pm,Bulldogs,30,Cronulla,22,T. Archer,ANZ,"9,289",
2008,Round 12,Fri,May 30th,7:45pm,Brisbane,30,Parramatta,26,J. Robinson,Suncorp,"25,564",
2008,Round 12,Fri,May 30th,7:45pm,Canberra,18,Manly Warringah,31,S. Hampstead,Canberra Stadium,"13,120",
2008,Round 12,Sat,May 31st,5:30pm,Melbourne,46,Bulldogs,0,S. Hayne,Olympic Park,"12,251",
2008,Round 12,Sat,May 31st,7:30pm,Newcastle,16,Warriors,18,J. Maxwell,EnergyAustralia,"15,489",
2008,Round 12,Sat,May 31st,7:30pm,North Queensland,18,Penrith,19,A. Shortall,Dairy Farmers,"16,553",
2008,Round 12,Sun,Jun 1st,3:00pm,Cronulla,30,Gold Coast Titans,14,B. Cummins,Toyota,"8,214",
2008,Round 12,Sun,Jun 1st,2:00pm,South Sydney,12,St George Illawarra,26,G. Badger,ANZ,"12,978",
2008,Round 12,Mon,Jun 2nd,7:00pm,Sydney,19,Wests Tigers,10,T. Archer,SFS,"15,204",
2008,Round 13,Fri,Jun 6th,7:45pm,St George Illawarra,28,Brisbane,10,B. Cummins,WIN Stadium,"11,432",
2008,Round 13,Fri,Jun 6th,8:00pm,Warriors,28,South Sydney,35,T. De Las Heras,Mt Smart,"13,112",
2008,Round 13,Sat,Jun 7th,5:30pm,Bulldogs,12,Newcastle,22,S. Hampstead,ANZ,"9,565",
2008,Round 13,Sat,Jun 7th,7:30pm,Parramatta,30,Canberra,12,A. Shortall,Parramatta,"10,195",
2008,Round 13,Sat,Jun 7th,7:30pm,Wests Tigers,40,North Queensland,16,G. Badger,Campbelltown,"10,488",
2008,Round 13,Sun,Jun 8th,3:00pm,Manly Warringah,42,Sydney,0,S. Hayne,Brookvale,"13,842",
2008,Round 13,Sun,Jun 8th,2:00pm,Penrith,22,Cronulla,24,J. Maxwell,CUA Stadium,"10,543",
2008,Round 13,Mon,Jun 9th,7:00pm,Gold Coast Titans,18,Melbourne,0,J. Robinson,Skilled Park,"19,409",
2008,Round 14,Fri,Jun 13th,7:45pm,Sydney,32,Penrith,12,S. Hampstead,SFS,"9,724",
2008,Round 14,Sat,Jun 14th,7:30pm,Cronulla,24,Warriors,8,B. Cummins,Toyota,"9,023",
2008,Round 14,Sun,Jun 15th,2:00pm,Canberra,34,Brisbane,16,J. Robinson,Canberra Stadium,"11,157",
2008,Round 14,Sun,Jun 15th,3:00pm,Wests Tigers,6,Parramatta,44,T. Archer,ANZ,"22,107",
2008,Round 14,Mon,Jun 16th,7:00pm,North Queensland,18,Newcastle,30,S. Hayne,Dairy Farmers,"14,234",
2008,Round 15,Fri,Jun 20th,7:45pm,Brisbane,19,Wests Tigers,18,S. Hampstead,Suncorp,"27,864",
2008,Round 15,Fri,Jun 20th,7:45pm,St George Illawarra,13,Penrith,12,J. Maxwell,ANZ,"9,032",
2008,Round 15,Sat,Jun 21st,5:30pm,Bulldogs,18,Canberra,58,G. Badger,ANZ,"9,845",
2008,Round 15,Sat,Jun 21st,7:30pm,Melbourne,48,North Queensland,20,B. Sutton,Olympic Park,"10,880",
2008,Round 15,Sun,Jun 22nd,3:00pm,Cronulla,16,Parramatta,14,S. Hayne,Toyota,"17,547",
2008,Round 15,Sun,Jun 22nd,2:00pm,Newcastle,14,Sydney,16,T. Archer,EnergyAustralia,"19,253",
2008,Round 15,Sun,Jun 22nd,2:00pm,Warriors,14,Manly Warringah,20,T. De Las Heras,Mt Smart,"7,141",
2008,Round 15,Mon,Jun 23rd,7:00pm,South Sydney,24,Gold Coast Titans,23,S. Lyons,ANZ,"9,827",
2008,Round 16,Fri,Jun 27th,7:45pm,Penrith,12,Brisbane,12,G. Badger,CUA Stadium,"9,963",
2008,Round 16,Fri,Jun 27th,7:45pm,Sydney,24,Bulldogs,14,J. Maxwell,SFS,"9,271",
2008,Round 16,Sat,Jun 28th,5:30pm,Gold Coast Titans,22,St George Illawarra,26,B. Sutton,Skilled Park,"26,453",
2008,Round 16,Sat,Jun 28th,7:30pm,Manly Warringah,28,Newcastle,12,S. Hayne,Central Coast,"13,798",
2008,Round 16,Sat,Jun 28th,7:30pm,North Queensland,28,South Sydney,29,T. De Las Heras,Dairy Farmers,"15,631",
2008,Round 16,Sun,Jun 29th,3:00pm,Parramatta,24,Melbourne,22,B. Cummins,Parramatta,"12,597",
2008,Round 16,Sun,Jun 29th,2:00pm,Wests Tigers,26,Warriors,28,S. Lyons,Leichhardt,"15,027",
2008,Round 16,Mon,Jun 30th,7:00pm,Canberra,24,Cronulla,36,S. Hampstead,Canberra Stadium,"9,136",
2008,Round 17,Fri,Jul 4th,7:45pm,Gold Coast Titans,14,Manly Warringah,34,J. Maxwell,Skilled Park,"21,374",
2008,Round 17,Sat,Jul 5th,7:30pm,Newcastle,16,St George Illawarra,24,S. Hampstead,EnergyAustralia,"22,348",
2008,Round 17,Sun,Jul 6th,2:00pm,Melbourne,30,Canberra,14,B. Cummins,Olympic Park,"11,719",
2008,Round 17,Sun,Jul 6th,3:00pm,Parramatta,16,Penrith,22,S. Hayne,Parramatta,"14,012",
2008,Round 17,Mon,Jul 7th,7:00pm,Bulldogs,30,South Sydney,34,J. Robinson,ANZ,"15,662",
2008,Round 18,Fri,Jul 11th,7:45pm,Penrith,18,Newcastle,30,G. Badger,CUA Stadium,"10,029",
2008,Round 18,Fri,Jul 11th,7:45pm,Sydney,28,Gold Coast Titans,32,B. Cummins,SFS,"10,762",
2008,Round 18,Sat,Jul 12th,7:30pm,Cronulla,6,Manly Warringah,34,J. Robinson,Toyota,"18,217",
2008,Round 18,Sat,Jul 12th,7:30pm,South Sydney,32,Parramatta,20,M. Cecchin,ANZ,"17,897",
2008,Round 18,Sat,Jul 12th,7:30pm,Warriors,24,North Queensland,14,S. Hampstead,Mt Smart,"7,722",
2008,Round 18,Sun,Jul 13th,3:00pm,Brisbane,18,Bulldogs,26,T. Archer,Suncorp,"37,683",
2008,Round 18,Sun,Jul 13th,2:00pm,St George Illawarra,12,Canberra,19,T. De Las Heras,WIN Stadium,"14,040",
2008,Round 18,Mon,Jul 14th,7:00pm,Wests Tigers,18,Melbourne,30,J. Maxwell,Campbelltown,"16,653",
2008,Round 19,Fri,Jul 18th,7:35pm,Manly Warringah,28,Parramatta,10,S. Hayne,Brookvale,"18,970",
2008,Round 19,Fri,Jul 18th,7:35pm,North Queensland,18,Brisbane,32,B. Cummins,Dairy Farmers,"22,048",
2008,Round 19,Sat,Jul 19th,7:30pm,Bulldogs,22,Warriors,40,T. De Las Heras,ANZ,"12,973",
2008,Round 19,Sat,Jul 19th,7:30pm,Cronulla,16,Newcastle,13,T. Archer,Toyota,"10,112",
2008,Round 19,Sat,Jul 19th,5:30pm,Gold Coast Titans,22,Penrith,36,M. Cecchin,Skilled Park,"17,759",
2008,Round 19,Sun,Jul 20th,2:00pm,Canberra,34,Sydney,12,J. Maxwell,Canberra Stadium,"13,417",
2008,Round 19,Sun,Jul 20th,3:00pm,South Sydney,12,Wests Tigers,36,J. Robinson,ANZ,"21,818",
2008,Round 19,Mon,Jul 21st,7:00pm,Melbourne,26,St George Illawarra,0,G. Badger,Olympic Park,"9,335",
2008,Round 20,Fri,Jul 25th,7:35pm,Brisbane,18,Cronulla,12,S. Hayne,Suncorp,"27,905",
2008,Round 20,Fri,Jul 25th,7:35pm,Parramatta,16,North Queensland,4,S. Lyons,Parramatta,"7,253",
2008,Round 20,Sat,Jul 26th,5:30pm,Canberra,46,Gold Coast Titans,4,T. De Las Heras,Canberra Stadium,"8,700",
2008,Round 20,Sat,Jul 26th,7:30pm,Penrith,24,Wests Tigers,10,T. Archer,CUA Stadium,"14,075",
2008,Round 20,Sun,Jul 27th,2:00pm,Newcastle,39,South Sydney,12,B. Cummins,EnergyAustralia,"23,182",
2008,Round 20,Sun,Jul 27th,3:00pm,Sydney,34,Manly Warringah,12,J. Robinson,SFS,"22,681",
2008,Round 20,Sun,Jul 27th,2:00pm,Warriors,8,Melbourne,6,J. Maxwell,Mt Smart,"8,700",
2008,Round 20,Mon,Jul 28th,7:00pm,St George Illawarra,30,Bulldogs,0,S. Hampstead,ANZ,"7,802",
2008,Round 21,Fri,Aug 1st,7:35pm,Manly Warringah,30,Penrith,10,S. Hayne,Brookvale,"7,862",
2008,Round 21,Fri,Aug 1st,7:35pm,Melbourne,44,Gold Coast Titans,4,T. De Las Heras,Olympic Park,"9,400",
2008,Round 21,Sat,Aug 2nd,5:30pm,Cronulla,13,St George Illawarra,12,J. Maxwell,Toyota,"18,256",
2008,Round 21,Sat,Aug 2nd,7:30pm,North Queensland,20,Sydney,32,S. Hampstead,Dairy Farmers,"14,601",
2008,Round 21,Sat,Aug 2nd,7:30pm,South Sydney,18,Warriors,16,S. Lyons,ANZ,"9,276",
2008,Round 21,Sun,Aug 3rd,3:00pm,Brisbane,34,Canberra,6,T. Archer,Suncorp,"28,103",
2008,Round 21,Sun,Aug 3rd,2:00pm,Wests Tigers,56,Bulldogs,4,B. Cummins,ANZ,"16,121",
2008,Round 21,Mon,Aug 4th,7:00pm,Newcastle,32,Parramatta,12,J. Robinson,EnergyAustralia,"16,435",
2008,Round 22,Fri,Aug 8th,7:35pm,Manly Warringah,10,Melbourne,16,T. Archer,Brookvale,"18,442",
2008,Round 22,Fri,Aug 8th,7:35pm,St George Illawarra,10,Wests Tigers,18,S. Hayne,WIN Stadium,"14,207",
2008,Round 22,Sat,Aug 9th,7:30pm,Bulldogs,12,North Queensland,36,B. Sutton,Suncorp,"8,549",
2008,Round 22,Sat,Aug 9th,7:30pm,Cronulla,28,South Sydney,14,B. Cummins,Toyota,"12,618",
2008,Round 22,Sat,Aug 9th,7:30pm,Warriors,16,Brisbane,12,M. Cecchin,Mt Smart,"13,007",
2008,Round 22,Sun,Aug 10th,2:00pm,Canberra,74,Penrith,12,J. Robinson,Canberra Stadium,"6,500",
2008,Round 22,Sun,Aug 10th,3:00pm,Sydney,24,Parramatta,28,J. Maxwell,SFS,"12,468",
2008,Round 22,Mon,Aug 11th,7:00pm,Gold Coast Titans,12,Newcastle,32,S. Lyons,Skilled Park,"15,136",
2008,Round 23,Fri,Aug 15th,7:35pm,Brisbane,20,St George Illawarra,24,J. Maxwell,Suncorp,"33,237",
2008,Round 23,Fri,Aug 15th,7:35pm,Melbourne,30,Sydney,6,S. Hayne,Olympic Park,"13,335",
2008,Round 23,Sat,Aug 16th,7:30pm,North Queensland,20,Gold Coast Titans,26,B. Sutton,Dairy Farmers,"17,605",
2008,Round 23,Sat,Aug 16th,7:30pm,Penrith,52,Bulldogs,16,G. Badger,CUA Stadium,"7,841",
2008,Round 23,Sat,Aug 16th,7:30pm,Warriors,18,Cronulla,4,T. Archer,Mt Smart,"10,417",
2008,Round 23,Sun,Aug 17th,2:00pm,Canberra,38,Newcastle,18,B. Cummins,Canberra Stadium,"12,206",
2008,Round 23,Sun,Aug 17th,3:00pm,South Sydney,40,Manly Warringah,32,S. Lyons,ANZ,"11,000",
2008,Round 23,Mon,Aug 18th,7:00pm,Parramatta,40,Wests Tigers,12,M. Cecchin,Parramatta,"13,065",
2008,Round 24,Fri,Aug 22nd,7:35pm,Brisbane,25,Gold Coast Titans,21,B. Cummins,Suncorp,"39,757",
2008,Round 24,Fri,Aug 22nd,7:35pm,Cronulla,20,Sydney,0,J. Robinson,Toyota,"10,013",
2008,Round 24,Sat,Aug 23rd,7:30pm,Bulldogs,12,Parramatta,26,S. Lyons,ANZ,"27,564",
2008,Round 24,Sat,Aug 23rd,7:30pm,Newcastle,38,North Queensland,24,S. Hampstead,EnergyAustralia,"10,323",
2008,Round 24,Sat,Aug 23rd,5:30pm,Wests Tigers,16,Manly Warringah,48,T. Archer,ANZ,"27,564",
2008,Round 24,Sun,Aug 24th,3:00pm,St George Illawarra,34,Warriors,6,S. Hayne,WIN Stadium,"11,583",
2008,Round 24,Sun,Aug 24th,2:00pm,South Sydney,25,Canberra,40,J. Maxwell,ANZ,"10,128",
2008,Round 24,Mon,Aug 25th,7:00pm,Penrith,6,Melbourne,40,M. Cecchin,CUA Stadium,"8,813",
2008,Round 25,Fri,Aug 29th,7:35pm,Sydney,22,South Sydney,20,S. Lyons,SFS,"18,127",
2008,Round 25,Fri,Aug 29th,7:35pm,Wests Tigers,6,Cronulla,32,S. Hampstead,Leichhardt,"10,776",
2008,Round 25,Sat,Aug 30th,5:30pm,Newcastle,17,Melbourne,16,S. Hayne,EnergyAustralia,"19,568",
2008,Round 25,Sat,Aug 30th,7:30pm,North Queensland,22,Canberra,10,M. Cecchin,Dairy Farmers,"14,998",
2008,Round 25,Sat,Aug 30th,7:30pm,St George Illawarra,40,Parramatta,14,T. Archer,ANZ,"17,103",
2008,Round 25,Sun,Aug 31st,3:00pm,Bulldogs,22,Brisbane,36,J. Maxwell,ANZ,"7,685",
2008,Round 25,Sun,Aug 31st,4:00pm,Warriors,42,Penrith,20,B. Cummins,Mt Smart,"15,214",
2008,Round 25,Mon,Sep 1st,7:00pm,Manly Warringah,28,Gold Coast Titans,10,J. Robinson,Brookvale,"14,755",
2008,Round 26,Fri,Sep 5th,7:35pm,Brisbane,24,Newcastle,2,T. Archer,Suncorp,"37,552",
2008,Round 26,Fri,Sep 5th,7:35pm,Sydney,10,St George Illawarra,0,S. Hayne,SFS,"14,127",
2008,Round 26,Sat,Sep 6th,7:30pm,Cronulla,28,North Queensland,22,B. Cummins,Toyota,"7,057",
2008,Round 26,Sat,Sep 6th,7:30pm,Parramatta,6,Warriors,28,J. Robinson,Parramatta,"5,102",
2008,Round 26,Sat,Sep 6th,5:30pm,Penrith,16,Manly Warringah,34,J. Maxwell,CUA Stadium,"6,086",
2008,Round 26,Sun,Sep 7th,2:00pm,Canberra,52,Bulldogs,34,S. Hampstead,Canberra Stadium,"15,411",
2008,Round 26,Sun,Sep 7th,3:00pm,Gold Coast Titans,12,Wests Tigers,28,B. Sutton,Skilled Park,"20,723",
2008,Round 26,Sun,Sep 7th,7:00pm,Melbourne,42,South Sydney,4,S. Lyons,Olympic Park,"13,875",
2008,Qualif Final,Fri,Sep 12th,7:45pm,Sydney,16,Brisbane,24,T. Archer,SFS,"18,343",
2008,Qualif Final,Sat,Sep 13th,6:30pm,Cronulla,36,Canberra,10,J. Maxwell,Toyota,"18,252",
