Year,Round,Day,Date,Time,Home,H_PTS,Away,A_PTS,Referee/s,Stadium,Crowd,date_time,HomeWin,SOO,Home_w_percent,Away_w_percent,Period
2008,Round 7,Fri,Apr-25,7:45pm,Brisbane,32,South Sydney,18,J. Robinson,Suncorp,34112,2008-04-25 19:45:00,1.0,False,0.6666666666666666,0.0,Pre
2008,Round 7,Fri,Apr-25,3:15pm,St George Illawarra,26,Sydney,6,S. Hampstead,ANZ,21596,2008-04-25 15:15:00,1.0,False,0.16666666666666666,0.6666666666666666,Pre
2008,Round 7,Sat,Apr-26,5:30pm,Manly Warringah,30,Bulldogs,22,T. Archer,Brookvale,15229,2008-04-26 17:30:00,1.0,False,0.5,0.5,Pre
2008,Round 7,Sat,Apr-26,7:30pm,North Queensland,10,Melbourne,12,G. Badger,Dairy Farmers,24053,2008-04-26 19:30:00,0.0,False,0.5,0.6666666666666666,Pre
2008,Round 7,Sun,Apr-27,3:00pm,Cronulla,16,Wests Tigers,20,S. Hayne,Toyota,17241,2008-04-27 15:00:00,0.0,False,0.6666666666666666,0.5,Pre
2008,Round 7,Sun,Apr-27,2:00pm,Gold Coast Titans,36,Warriors,24,S. Lyons,Skilled Park,25310,2008-04-27 14:00:00,1.0,False,0.8333333333333334,0.5,Pre
2008,Round 8,Sat,May-3,5:30pm,Newcastle,13,Gold Coast Titans,12,G. Badger,EnergyAustralia,21280,2008-05-03 17:30:00,1.0,False,0.5,0.8571428571428571,Pre
2008,Round 8,Sat,May-3,7:30pm,Penrith,18,Parramatta,26,B. Cummins,CUA Stadium,18724,2008-05-03 19:30:00,0.0,False,0.5,0.3333333333333333,Pre
2008,Round 8,Sat,May-3,8:30pm,Wests Tigers,22,Brisbane,34,T. Archer,ANZ,11177,2008-05-03 20:30:00,0.0,False,0.5714285714285714,0.7142857142857143,Pre
2008,Round 8,Sun,May-4,3:00pm,South Sydney,28,North Queensland,24,S. Hayne,ANZ,9818,2008-05-04 15:00:00,1.0,False,0.0,0.42857142857142855,Pre
2008,Round 8,Sun,May-4,4:00pm,Warriors,14,Canberra,6,S. Hampstead,Mt Smart,7358,2008-05-04 16:00:00,1.0,False,0.42857142857142855,0.5,Pre
2008,Round 9,Sat,May-10,7:30pm,Bulldogs,4,Penrith,30,J. Maxwell,ANZ,10257,2008-05-10 19:30:00,0.0,False,0.42857142857142855,0.42857142857142855,Pre
2008,Round 9,Sat,May-10,7:30pm,North Queensland,18,Cronulla,24,T. Archer,Dairy Farmers,17065,2008-05-10 19:30:00,0.0,False,0.375,0.5714285714285714,Pre
2008,Round 9,Sat,May-10,5:30pm,Sydney,30,Canberra,4,J. Robinson,SFS,10241,2008-05-10 17:30:00,1.0,False,0.5714285714285714,0.42857142857142855,Pre
2008,Round 9,Sun,May-11,2:00pm,Brisbane,12,Manly Warringah,30,S. Hayne,Suncorp,27469,2008-05-11 14:00:00,0.0,False,0.75,0.5714285714285714,Pre
2008,Round 9,Sun,May-11,3:00pm,Parramatta,19,St George Illawarra,18,S. Hampstead,Parramatta,16313,2008-05-11 15:00:00,1.0,False,0.42857142857142855,0.2857142857142857,Pre
2008,Round 9,Mon,May-12,7:00pm,Melbourne,18,Newcastle,4,B. Cummins,Olympic Park,10624,2008-05-12 19:00:00,1.0,False,0.7142857142857143,0.5714285714285714,Pre
2008,Round 10,Fri,May-16,7:45pm,Gold Coast Titans,24,Bulldogs,20,J. Robinson,Skilled Park,22676,2008-05-16 19:45:00,1.0,True,0.75,0.375,Origin
2008,Round 10,Fri,May-16,7:45pm,Parramatta,12,Sydney,32,S. Hayne,Parramatta,16211,2008-05-16 19:45:00,0.0,True,0.5,0.625,Origin
2008,Round 10,Sat,May-17,5:30pm,Cronulla,13,Brisbane,6,J. Maxwell,Toyota,13431,2008-05-17 17:30:00,1.0,True,0.625,0.6666666666666666,Origin
2008,Round 10,Sat,May-17,7:30pm,Manly Warringah,38,North Queensland,6,B. Cummins,Central Coast,9343,2008-05-17 19:30:00,1.0,True,0.625,0.3333333333333333,Origin
2008,Round 10,Sat,May-17,7:30pm,St George Illawarra,36,Melbourne,12,P. Haines,ANZ,6881,2008-05-17 19:30:00,1.0,True,0.25,0.75,Origin
2008,Round 10,Sun,May-18,3:00pm,Newcastle,26,Wests Tigers,38,S. Hampstead,EnergyAustralia,20154,2008-05-18 15:00:00,0.0,True,0.5,0.5,Origin
2008,Round 10,Sun,May-18,2:00pm,Penrith,46,Warriors,22,T. De Las Heras,CUA Stadium,9450,2008-05-18 14:00:00,1.0,True,0.5,0.5,Origin
2008,Round 10,Mon,May-19,7:00pm,Canberra,38,South Sydney,10,G. Badger,Canberra Stadium,11115,2008-05-19 19:00:00,1.0,True,0.375,0.125,Origin
