referee,team,with,without,difference
G. Sutton,Penrith,0.4,0.48598130841121495,-8.598130841121494
A. Klein,Penrith,0.3,0.49065420560747663,-19.065420560747665
H. Perenara,Penrith,0.4,0.47560975609756095,-7.560975609756094
G. Reynolds,Penrith,0.7894736842105263,0.45288753799392095,33.65861462166054
A. Devcich,Penrith,0.42105263157894735,0.48034934497816595,-5.92967133992186
P. Haines,Penrith,0.3333333333333333,0.45132743362831856,-11.799410029498524
B. Suttor,Penrith,0.5882352941176471,0.4659498207885305,12.22854733291166
S. Hayne,Penrith,0.35294117647058826,0.48028673835125446,-12.73455618806662
M. Cecchin,St George Illawarra,0.4166666666666667,0.5169902912621359,-10.032362459546922
G. Badger,St George Illawarra,0.5757575757575758,0.5036144578313253,7.21431179262505
B. Cummins,St George Illawarra,0.5151515151515151,0.5084337349397591,0.6717780211756064
A. Klein,St George Illawarra,0.59375,0.5024038461538461,9.134615384615385
J. Maxwell,St George Illawarra,0.5555555555555556,0.5067024128686327,4.885314268692287
S. Hayne,St George Illawarra,0.4782608695652174,0.5340501792114696,-5.578930964625217
A. Shortall,St George Illawarra,0.6521739130434783,0.5011764705882353,15.099744245524294
T. Archer,St George Illawarra,0.5909090909090909,0.6032608695652174,-1.2351778656126466
G. Sutton,St George Illawarra,0.36363636363636365,0.5164319248826291,-15.279556124626549
A. Devcich,St George Illawarra,0.4444444444444444,0.4420289855072464,0.24154589371980228
J. Robinson,St George Illawarra,0.6875,0.5336134453781513,15.388655462184875
C. James,Canberra,0.45454545454545453,0.44794188861985473,0.6603565925599797
A. Klein,Canberra,0.4482758620689655,0.44844124700239807,-0.016538493343254412
J. Maxwell,Canberra,0.48148148148148145,0.444743935309973,3.673754617150843
M. Cecchin,Canberra,0.34615384615384615,0.45476190476190476,-10.860805860805861
G. Sutton,Canberra,0.44,0.4489311163895487,-0.8931116389548688
G. Badger,Canberra,0.4,0.4513064133016627,-5.130641330166269
A. Shortall,Canberra,0.44,0.4489311163895487,-0.8931116389548688
H. Perenara,Canberra,0.5,0.44135802469135804,5.864197530864196
B. Cummins,Canberra,0.5454545454545454,0.44339622641509435,10.205831903945107
A. Devcich,Canberra,0.42857142857142855,0.4482758620689655,-1.9704433497536977
B. Suttor,Canberra,0.38095238095238093,0.41454545454545455,-3.359307359307362
S. Lyons,Canberra,0.23809523809523808,0.45251396648044695,-21.441872838520887
G. Reynolds,Canberra,0.42105263157894735,0.44648318042813456,-2.543054884918722
B. Cummins,Manly Warringah,0.5128205128205128,0.5673758865248227,-5.455537370430996
S. Hayne,Manly Warringah,0.5789473684210527,0.6187050359712231,-3.9757667550170406
G. Badger,Manly Warringah,0.5588235294117647,0.5630841121495327,-0.42605827377679706
J. Maxwell,Manly Warringah,0.5757575757575758,0.5620052770448549,1.3752298712720878
M. Cecchin,Manly Warringah,0.42424242424242425,0.5734265734265734,-14.918414918414918
G. Sutton,Manly Warringah,0.6,0.5607235142118863,3.9276485788113713
T. Archer,Manly Warringah,0.7727272727272727,0.5967741935483871,17.595307917888558
C. James,Manly Warringah,0.5909090909090909,0.5615384615384615,2.9370629370629397
A. Klein,Manly Warringah,0.5,0.5659090909090909,-6.590909090909092
A. Shortall,Manly Warringah,0.6190476190476191,0.5600907029478458,5.895691609977327
H. Perenara,Manly Warringah,0.3888888888888889,0.5482758620689655,-15.93869731800766
